Path: ../../data/raw/recordings/OSFL_other_habitats/recording-321015.mp3, start_time: 604.5 sec, end_time 607.5 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-320975.mp3, start_time: 609.0 sec, end_time 612.0 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-320965.mp3, start_time: 606.0 sec, end_time 609.0 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-320749.mp3, start_time: 600.0 sec, end_time 603.0 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-320742.mp3, start_time: 601.5 sec, end_time 604.5 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-315540.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-315409.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-313106.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-313022.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-312597.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-312564.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-312471.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-297545.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-291938.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-291924.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-291921.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-282837.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-282232.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-280378.mp3, start_time: 289.5 sec, end_time 292.5 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-279490.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-279107.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-277990.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-230915.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-230784.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-209232.mp3, start_time: 369.0 sec, end_time 372.0 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-208596.mp3, start_time: 342.0 sec, end_time 345.0 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-208571.mp3, start_time: 355.5 sec, end_time 358.5 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-208564.mp3, start_time: 342.0 sec, end_time 345.0 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-207599.mp3, start_time: 336.0 sec, end_time 339.0 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-207581.mp3, start_time: 325.5 sec, end_time 328.5 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-207506.mp3, start_time: 327.0 sec, end_time 330.0 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-207334.mp3, start_time: 645.0 sec, end_time 648.0 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-207224.mp3, start_time: 333.0 sec, end_time 336.0 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-207208.mp3, start_time: 348.0 sec, end_time 351.0 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-207186.mp3, start_time: 456.0 sec, end_time 459.0 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-165507.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL_other_habitats/recording-4467.flac, start_time: 16.5 sec, end_time 19.5 sec.Path: ../../data/processed/external_test_set_recordings/recording-255607.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: ../../data/processed/external_test_set_recordings/recording-255412.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: ../../data/processed/external_test_set_recordings/recording-255665.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: ../../data/processed/external_test_set_recordings/recording-255513.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: ../../data/processed/external_test_set_recordings/recording-255465.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: ../../data/processed/external_test_set_recordings/recording-255497.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: ../../data/processed/external_test_set_recordings/recording-255454.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: ../../data/processed/external_test_set_recordings/recording-255433.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: ../../data/processed/external_test_set_recordings/recording-255580.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: ../../data/processed/external_test_set_recordings/recording-255581.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: ../../data/processed/external_test_set_recordings/recording-255420.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: ../../data/processed/external_test_set_recordings/recording-255582.mp3, start_time: 595.5 sec, end_time 598.5 sec.
