Path: ../../data/raw/recordings/OSFL/recording-292726.mp3, start_time: 177.4499773243 sec, end_time 180.4499773243 sec.
Path: ../../data/raw/recordings/OSFL/recording-293782.mp3, start_time: 57.1674376417 sec, end_time 60.1674376417 sec.
Path: ../../data/raw/recordings/OSFL/recording-294264.mp3, start_time: 57.1674376417 sec, end_time 60.1674376417 sec.
Path: ../../data/raw/recordings/OSFL/recording-295545.mp3, start_time: 57.1674376417 sec, end_time 60.1674376417 sec.
Path: ../../data/raw/recordings/OSFL/recording-295569.mp3, start_time: 57.1674376417 sec, end_time 60.1674376417 sec.
Path: ../../data/raw/recordings/OSFL/recording-296664.mp3, start_time: 57.1674376417 sec, end_time 60.1674376417 sec.
Path: ../../data/raw/recordings/OSFL/recording-297296.mp3, start_time: 57.1674376417 sec, end_time 60.1674376417 sec.
Path: ../../data/raw/recordings/OSFL/recording-165484.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL/recording-207114.mp3, start_time: 328.5 sec, end_time 331.5 sec.
Path: ../../data/raw/recordings/OSFL/recording-207234.mp3, start_time: 340.5 sec, end_time 343.5 sec.
Path: ../../data/raw/recordings/OSFL/recording-279403.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL/recording-280076.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL/recording-280093.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL/recording-280096.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL/recording-282767.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL/recording-282961.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL/recording-291469.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL/recording-291474.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL/recording-291476.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL/recording-291477.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL/recording-291479.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL/recording-291480.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL/recording-291496.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL/recording-291508.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL/recording-291516.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL/recording-291521.mp3, start_time: 297.0 sec, end_time 300.0 sec.
Path: ../../data/raw/recordings/OSFL/recording-291523.mp3, start_time: 297.0 sec, end_time 300.0 sec.
