Path: /Users/mikeg/code/machine_learning/osfl_cnn_recognizer/data/processed/external_test_set_recordings/recording-255607.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: /Users/mikeg/code/machine_learning/osfl_cnn_recognizer/data/processed/external_test_set_recordings/recording-255412.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: /Users/mikeg/code/machine_learning/osfl_cnn_recognizer/data/processed/external_test_set_recordings/recording-255665.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: /Users/mikeg/code/machine_learning/osfl_cnn_recognizer/data/processed/external_test_set_recordings/recording-255513.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: /Users/mikeg/code/machine_learning/osfl_cnn_recognizer/data/processed/external_test_set_recordings/recording-255465.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: /Users/mikeg/code/machine_learning/osfl_cnn_recognizer/data/processed/external_test_set_recordings/recording-255497.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: /Users/mikeg/code/machine_learning/osfl_cnn_recognizer/data/processed/external_test_set_recordings/recording-255454.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: /Users/mikeg/code/machine_learning/osfl_cnn_recognizer/data/processed/external_test_set_recordings/recording-255433.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: /Users/mikeg/code/machine_learning/osfl_cnn_recognizer/data/processed/external_test_set_recordings/recording-255580.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: /Users/mikeg/code/machine_learning/osfl_cnn_recognizer/data/processed/external_test_set_recordings/recording-255581.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: /Users/mikeg/code/machine_learning/osfl_cnn_recognizer/data/processed/external_test_set_recordings/recording-255420.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: /Users/mikeg/code/machine_learning/osfl_cnn_recognizer/data/processed/external_test_set_recordings/recording-255582.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: data/processed/external_test_set_recordings/recording-255607.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: data/processed/external_test_set_recordings/recording-255412.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: data/processed/external_test_set_recordings/recording-255665.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: data/processed/external_test_set_recordings/recording-255513.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: data/processed/external_test_set_recordings/recording-255465.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: data/processed/external_test_set_recordings/recording-255497.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: data/processed/external_test_set_recordings/recording-255454.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: data/processed/external_test_set_recordings/recording-255433.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: data/processed/external_test_set_recordings/recording-255580.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: data/processed/external_test_set_recordings/recording-255581.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: data/processed/external_test_set_recordings/recording-255420.mp3, start_time: 595.5 sec, end_time 598.5 sec.
Path: data/processed/external_test_set_recordings/recording-255582.mp3, start_time: 595.5 sec, end_time 598.5 sec.
